acc_x,acc_y,acc_z,alt,label
-0.169067,0.012939,0.934204,332.192139,none
-0.166626,0.005371,0.947388,332.192139,none
-0.171997,0.004395,0.942627,332.423676,none
-0.171509,0.012451,0.939209,332.423676,none
-0.16626,0.011475,0.94397,332.102325,none
-0.168945,0.006348,0.949585,332.102325,none
-0.163452,0.008545,0.943604,332.153198,none
-0.170288,0.008789,0.946777,332.153198,none
-0.169189,0.009766,0.946533,332.133453,none
-0.171875,0.009399,0.945312,332.134491,none
-0.169922,0.008301,0.950195,332.134491,none
-0.167358,0.009033,0.946411,332.119965,none
-0.168579,0.008545,0.950317,332.119965,none
-0.168945,0.010742,0.950073,331.903473,none
-0.170166,0.009644,0.949829,331.903473,none
-0.170044,0.008911,0.950073,332.206665,none
-0.170166,0.005005,0.951172,332.206665,none
-0.166626,0.009399,0.953003,331.910217,none
-0.169312,0.011353,0.949463,331.817291,none
-0.1698,0.007935,0.954468,331.817291,none
-0.168457,0.009399,0.951782,332.012512,none
-0.17041,0.00769,0.952271,332.012512,none
-0.167725,0.008911,0.955811,332.230042,none
-0.168823,0.011108,0.954224,332.230042,none
-0.169312,0.008301,0.955078,332.1828,none
-0.168457,0.008423,0.95459,332.1828,none
-0.169434,0.008911,0.955078,332.357239,none
-0.167969,0.010498,0.955811,331.96109,none
-0.171021,0.009888,0.9552,331.96109,none
-0.168457,0.008545,0.955688,332.075317,none
-0.166992,0.008545,0.960938,332.075317,none
-0.166748,0.007935,0.954224,331.895172,none
-0.167725,0.009644,0.954346,331.895172,none
-0.171631,0.007935,0.958618,332.126709,none
-0.169067,0.009033,0.954834,332.126709,none
-0.169434,0.009888,0.958618,332.2565,none
-0.168213,0.00769,0.957886,332.111664,none
-0.168823,0.009033,0.956909,332.111664,none
-0.169189,0.008301,0.958984,332.089325,none
-0.169312,0.008423,0.95813,332.089325,none
-0.169922,0.009277,0.959961,331.988098,none
-0.169556,0.009155,0.959106,331.988098,none
-0.170898,0.010132,0.957886,332.068573,none
-0.170776,0.009521,0.957642,332.068573,none
-0.168091,0.007324,0.962402,331.910217,none
-0.165283,0.010864,0.959839,331.973053,none
-0.170288,0.009033,0.957764,331.973053,none
-0.170898,0.008057,0.961792,331.866089,none
-0.169556,0.01062,0.957886,331.866089,none
-0.168945,0.011108,0.960449,332.134491,none
-0.170166,0.009766,0.960205,332.134491,none
-0.170654,0.009155,0.959961,331.938263,none
-0.170166,0.01001,0.961548,331.938263,none
-0.170288,0.009888,0.959229,332.241974,none
-0.169312,0.008301,0.961182,332.146454,none
-0.168579,0.010986,0.961182,332.146454,none
-0.171143,0.009521,0.960083,332.262726,none
-0.167358,0.010864,0.965698,332.262726,none
-0.169067,0.011108,0.961182,331.938263,none
-0.169922,0.009644,0.960571,331.938263,none
-0.170654,0.008789,0.964233,332.412781,none
-0.169312,0.009155,0.96106,332.412781,none
-0.168579,0.008789,0.961792,332.083618,none
